City,Neighborhood,Listing_Type,Property_Type,Bedrooms,Bathrooms,Size_m2,Has_Pool,Has_Garden,Is_Furnished,Latitude,Longitude,Price_MAD
Marrakech,Palmeraie,Rent,Studio,1,1,59,0,0,0,31.6706,-7.98749,5403
Casablanca,Hay Mockh,Rent,Apartment,4,3,144,0,0,0,33.56249,-7.60566,10775
Tangier,Centre Ville,Rent,Apartment,3,1,66,0,0,0,35.73082,-5.83783,3852
Rabat,Hay Riad,Buy,Riad,6,4,545,1,1,1,34.00691,-6.83732,14937258
Tangier,Marshane,Buy,Apartment,2,2,62,0,0,1,35.77653,-5.84641,638188
Casablanca,Sidi Maârouf,Rent,Apartment,2,3,68,0,0,1,33.5676,-7.63584,7239
Casablanca,Maârif,Rent,Apartment,2,1,167,0,0,0,33.59013,-7.60956,14415
Marrakech,Hivernage,Buy,Villa,4,5,317,1,1,0,31.62694,-8.00021,7123166
Rabat,Souissi,Rent,Apartment,2,3,137,0,0,1,34.01716,-6.84256,12882
Casablanca,Anfa,Rent,Apartment,3,1,134,0,0,0,33.60684,-7.57217,15875
Rabat,Océan,Buy,Apartment,4,2,110,0,0,1,34.06839,-6.82131,1321850
Marrakech,Guéliz,Buy,Apartment,4,3,166,0,0,1,31.61199,-8.00876,1759903
Casablanca,Sidi Maârouf,Buy,Apartment,4,3,163,0,0,0,33.57365,-7.58725,1853203
Casablanca,Sidi Maârouf,Rent,Apartment,4,2,144,0,0,0,33.56009,-7.59954,10797
Rabat,Agdal,Rent,Apartment,3,2,73,0,0,0,33.97084,-6.82791,6003
Rabat,Hassan,Rent,Apartment,4,1,115,0,0,0,34.00936,-6.82649,8057
Rabat,Océan,Buy,Land,0,0,1755,0,0,0,34.06177,-6.80921,14764399
Tangier,Moujahidine,Buy,Apartment,3,3,135,0,0,0,35.74423,-5.8701,1216849
Marrakech,Guéliz,Rent,Apartment,3,2,91,0,0,1,31.59901,-7.96515,8415
Tangier,Marshane,Rent,Apartment,2,2,168,0,0,0,35.74646,-5.83305,9750
Tangier,Centre Ville,Rent,Apartment,3,2,103,0,0,0,35.74746,-5.81879,6404
Rabat,Océan,Buy,Villa,3,6,395,0,1,1,33.97147,-6.85754,6465965
Tangier,Centre Ville,Buy,Studio,1,1,52,0,0,0,35.76289,-5.83221,438163
Tangier,Moujahidine,Rent,Riad,3,2,501,0,1,0,35.78286,-5.82891,51137
Rabat,Hassan,Buy,Apartment,4,3,104,0,0,0,34.01453,-6.84798,1215974
Rabat,Souissi,Buy,Villa,8,5,477,0,1,0,34.03832,-6.84812,7799046
Marrakech,Medina,Buy,Apartment,2,3,128,0,0,1,31.61597,-8.02571,1277166
Marrakech,Hivernage,Buy,Villa,4,5,483,1,1,1,31.63604,-7.98548,10366547
Rabat,Agdal,Buy,Land,0,0,1805,0,0,0,34.0032,-6.83586,17281258
Marrakech,Medina,Buy,Apartment,2,2,82,0,0,0,31.63627,-7.98941,839691
Marrakech,Medina,Buy,Land,0,0,193,0,0,0,31.61975,-7.97302,1485859
Casablanca,Bourgogne,Rent,Riad,5,3,702,0,0,0,33.57453,-7.59935,106394
Tangier,Moujahidine,Buy,Apartment,3,1,66,0,0,0,35.78524,-5.84289,552410
Tangier,Malabata,Rent,Riad,3,5,703,0,1,0,35.77689,-5.80689,111871
Marrakech,Sidi Ghanem,Buy,Apartment,3,1,91,0,0,0,31.60833,-7.99136,984338
Tangier,Centre Ville,Buy,Apartment,4,2,117,0,0,1,35.77259,-5.83511,1026529
Rabat,Océan,Buy,Villa,6,4,782,1,1,1,34.01684,-6.84066,14239351
Casablanca,Anfa,Buy,Villa,8,3,470,1,1,0,33.58272,-7.58532,12772314
Marrakech,Sidi Ghanem,Rent,Apartment,2,1,60,0,0,0,31.60267,-7.94336,4398
Tangier,Marshane,Buy,Land,0,0,166,0,0,0,35.73971,-5.83652,1311096
Marrakech,Medina,Buy,Apartment,4,2,149,0,0,1,31.68027,-7.97062,1508892
Casablanca,Anfa,Rent,Apartment,3,3,135,0,0,1,33.55286,-7.6229,19803
Marrakech,Palmeraie,Buy,Apartment,2,3,88,0,0,1,31.6549,-7.99747,1269748
Rabat,Hay Riad,Rent,Apartment,2,1,81,0,0,1,34.01599,-6.84705,11052
Rabat,Hassan,Buy,Land,0,0,354,0,0,0,34.04251,-6.8785,3197605
Tangier,Marshane,Rent,Villa,8,5,478,1,1,0,35.75412,-5.85613,42203
Casablanca,Bourgogne,Buy,Villa,3,5,530,1,1,0,33.55955,-7.58681,10331922
Marrakech,Sidi Ghanem,Rent,Studio,1,1,48,0,0,1,31.61803,-7.99204,3963
Rabat,Océan,Buy,Villa,3,3,681,1,1,0,34.04867,-6.89479,11399821
Rabat,Hay Riad,Buy,Villa,7,5,703,1,1,0,34.01405,-6.84903,17864719
Tangier,Marshane,Buy,Apartment,3,3,73,0,0,1,35.77616,-5.86053,694095
Rabat,Hassan,Rent,Apartment,4,2,96,0,0,1,34.03961,-6.81617,8474
Tangier,Malabata,Rent,Apartment,3,1,100,0,0,0,35.76147,-5.83661,7859
Casablanca,Hay Mockh,Buy,Apartment,4,1,144,0,0,1,33.56829,-7.5973,1857038
Tangier,Moujahidine,Buy,Studio,1,1,31,0,0,0,35.79243,-5.85414,262538
Rabat,Océan,Rent,Studio,1,1,54,0,0,0,34.02742,-6.86662,3986
Tangier,Malabata,Buy,Studio,1,1,36,0,0,0,35.73467,-5.85033,442685
Marrakech,Medina,Buy,Apartment,3,3,122,0,0,0,31.60389,-7.946,1232699
Marrakech,Hivernage,Buy,Apartment,3,3,61,0,0,1,31.64894,-7.98172,958213
Casablanca,Anfa,Buy,Apartment,2,2,75,0,0,1,33.57926,-7.624,1344971
Marrakech,Palmeraie,Rent,Apartment,4,2,125,0,0,1,31.60373,-7.97908,15199
Tangier,Moujahidine,Rent,Studio,1,1,45,0,0,0,35.76342,-5.85357,2577
Marrakech,Palmeraie,Buy,Riad,4,6,720,1,0,0,31.62012,-7.97056,14803283
Tangier,Marshane,Rent,Studio,1,1,59,0,0,1,35.76462,-5.81435,4694
Rabat,Agdal,Buy,Apartment,3,3,98,0,0,1,34.01774,-6.82547,1101636
Tangier,Centre Ville,Buy,Apartment,3,3,121,0,0,0,35.76985,-5.84851,998133
Tangier,Moujahidine,Buy,Apartment,3,1,149,0,0,0,35.72902,-5.84997,1302291
Tangier,Centre Ville,Buy,Apartment,3,1,100,0,0,1,35.74051,-5.78135,981097
Tangier,Moujahidine,Buy,Riad,8,3,707,1,0,1,35.77165,-5.86438,9495002
Rabat,Agdal,Buy,Villa,6,2,738,1,1,0,34.04389,-6.85566,11495305
Marrakech,Palmeraie,Rent,Riad,8,3,276,1,1,0,31.669,-7.98205,52197
Tangier,Malabata,Rent,Studio,1,1,57,0,0,0,35.77215,-5.81455,4569
Tangier,Marshane,Buy,Apartment,4,3,173,0,0,1,35.73311,-5.83852,1620466
Casablanca,Bourgogne,Buy,Riad,3,3,494,1,1,0,33.5843,-7.56818,10161077
Casablanca,Maârif,Buy,Apartment,3,1,148,0,0,0,33.54257,-7.59096,1949219
Casablanca,Maârif,Buy,Apartment,3,1,97,0,0,0,33.58169,-7.58565,1089637
Tangier,Centre Ville,Buy,Land,0,0,600,0,0,0,35.76843,-5.83827,4726994
Tangier,Centre Ville,Buy,Apartment,2,1,70,0,0,1,35.76007,-5.8334,655397
Tangier,Centre Ville,Buy,Apartment,3,3,78,0,0,0,35.7314,-5.82398,648727
Rabat,Hassan,Rent,Villa,5,2,676,1,1,1,34.04602,-6.85949,93831
Marrakech,Guéliz,Rent,Apartment,3,2,135,0,0,0,31.61649,-7.96023,9687
Tangier,Marshane,Buy,Villa,6,4,403,1,1,1,35.76115,-5.81269,6298984
Casablanca,Anfa,Buy,Land,0,0,881,0,0,0,33.59756,-7.60347,11608399
Rabat,Océan,Buy,Villa,5,4,222,1,1,1,34.01199,-6.81253,3949881
Rabat,Agdal,Buy,Apartment,4,3,159,0,0,1,34.01489,-6.8577,1722448
Casablanca,Bourgogne,Rent,Apartment,4,2,166,0,0,1,33.57241,-7.58512,16864
Rabat,Hay Riad,Buy,Apartment,4,2,88,0,0,1,34.01759,-6.85811,1511747
Rabat,Hay Riad,Buy,Apartment,4,1,175,0,0,1,33.99845,-6.83395,3014651
Casablanca,Sidi Maârouf,Rent,Studio,1,1,55,0,0,0,33.59644,-7.55738,4411
Rabat,Hay Riad,Rent,Apartment,2,2,101,0,0,1,34.00844,-6.85271,14557
Marrakech,Hivernage,Rent,Apartment,2,3,172,0,0,1,31.62203,-8.00457,23044
Rabat,Hay Riad,Buy,Apartment,3,2,163,0,0,0,34.00986,-6.82894,2371545
Rabat,Agdal,Buy,Villa,6,2,344,1,1,0,34.0041,-6.83831,6427141
Tangier,Marshane,Rent,Apartment,2,2,61,0,0,0,35.76522,-5.82731,3773
Casablanca,Hay Mockh,Buy,Apartment,3,3,155,0,0,1,33.53813,-7.61495,1818225
Tangier,Marshane,Buy,Apartment,2,3,89,0,0,0,35.74915,-5.82952,857263
Rabat,Océan,Buy,Apartment,2,3,68,0,0,1,34.04501,-6.83474,773710
Tangier,Marshane,Buy,Villa,8,5,319,0,1,1,35.77118,-5.84119,4721595
Rabat,Hassan,Buy,Land,0,0,337,0,0,0,34.02901,-6.8273,3165489
Casablanca,Anfa,Buy,Riad,7,3,597,1,1,1,33.60074,-7.57683,15389571
Tangier,Centre Ville,Buy,Land,0,0,1913,0,0,0,35.75209,-5.85067,14444397
Tangier,Malabata,Rent,Studio,1,1,56,0,0,0,35.76007,-5.80843,4239
Tangier,Marshane,Rent,Villa,3,4,422,1,1,1,35.75999,-5.8322,50714
Rabat,Agdal,Buy,Villa,8,4,757,1,1,1,34.01474,-6.83722,13510845
Casablanca,Hay Mockh,Buy,Land,0,0,665,0,0,0,33.59728,-7.61863,6935613
Marrakech,Guéliz,Rent,Studio,1,1,60,0,0,1,31.62057,-7.97722,5242
Tangier,Malabata,Buy,Apartment,4,1,142,0,0,1,35.7233,-5.8147,1883677
Casablanca,Maârif,Rent,Studio,1,1,55,0,0,0,33.56192,-7.58226,4627
Marrakech,Sidi Ghanem,Rent,Apartment,2,1,166,0,0,1,31.62688,-8.0218,15922
Marrakech,Sidi Ghanem,Buy,Apartment,2,1,102,0,0,1,31.60054,-8.02508,998015
Casablanca,Sidi Maârouf,Buy,Riad,4,3,753,0,0,1,33.59554,-7.56359,13849707
Casablanca,Anfa,Buy,Apartment,2,2,161,0,0,1,33.5861,-7.59178,2710572
Rabat,Agdal,Buy,Apartment,2,2,66,0,0,0,34.03886,-6.84573,686789
Tangier,Malabata,Rent,Apartment,4,1,120,0,0,0,35.73447,-5.80512,10814
Rabat,Océan,Buy,Land,0,0,1315,0,0,0,34.02629,-6.8462,12212155
Casablanca,Hay Mockh,Buy,Studio,1,1,46,0,0,0,33.58595,-7.56322,511289
Casablanca,Bourgogne,Rent,Studio,1,1,39,0,0,0,33.59808,-7.57997,3108
Casablanca,Maârif,Rent,Apartment,3,2,114,0,0,1,33.55957,-7.55378,11145
Tangier,Moujahidine,Buy,Apartment,2,1,101,0,0,1,35.72767,-5.82271,1016071
Casablanca,Anfa,Rent,Apartment,3,3,141,0,0,1,33.56405,-7.63828,20940
Rabat,Hassan,Rent,Villa,7,6,501,1,1,1,34.02834,-6.83202,70065
Casablanca,Maârif,Buy,Apartment,4,3,172,0,0,1,33.57303,-7.61297,2163956
Marrakech,Palmeraie,Buy,Villa,6,3,623,0,1,0,31.61197,-7.98035,12827967
Tangier,Malabata,Rent,Apartment,3,2,100,0,0,1,35.73947,-5.83962,11067
Rabat,Hay Riad,Buy,Studio,1,1,51,0,0,1,34.01103,-6.8505,769331
Casablanca,Maârif,Buy,Riad,3,2,642,0,1,1,33.57429,-7.60274,12998064
Casablanca,Bourgogne,Buy,Riad,7,6,537,1,1,1,33.56151,-7.56802,11331632
Tangier,Malabata,Rent,Studio,1,1,60,0,0,0,35.78585,-5.83005,4991
Rabat,Souissi,Buy,Villa,3,6,719,0,1,1,34.01351,-6.83751,10957157
Marrakech,Guéliz,Rent,Apartment,3,3,107,0,0,0,31.62309,-7.97262,8202
Rabat,Océan,Rent,Apartment,2,2,168,0,0,1,34.03327,-6.81901,16374
Casablanca,Bourgogne,Buy,Riad,8,4,229,0,1,0,33.57386,-7.5874,4226580
Rabat,Souissi,Buy,Apartment,2,1,171,0,0,0,34.04272,-6.84381,1966461
Tangier,Malabata,Buy,Apartment,2,3,141,0,0,1,35.73498,-5.86329,2004748
Casablanca,Bourgogne,Rent,Studio,1,1,36,0,0,0,33.54186,-7.54977,3009
Tangier,Marshane,Buy,Land,0,0,422,0,0,0,35.75605,-5.81633,2902782
Rabat,Souissi,Buy,Land,0,0,1577,0,0,0,34.03156,-6.86668,14242748
Rabat,Océan,Buy,Apartment,4,1,173,0,0,0,34.03078,-6.83639,1781087
Marrakech,Sidi Ghanem,Rent,Studio,1,1,31,0,0,1,31.63598,-7.98693,2816
Rabat,Hassan,Rent,Studio,1,1,51,0,0,0,34.03633,-6.89857,3717
Tangier,Moujahidine,Buy,Apartment,3,1,156,0,0,1,35.76699,-5.83574,1383665
Rabat,Hassan,Buy,Apartment,2,2,146,0,0,1,34.01155,-6.83467,1811604
Tangier,Marshane,Buy,Apartment,2,1,110,0,0,1,35.7176,-5.82892,1108407
Casablanca,Maârif,Buy,Apartment,2,2,87,0,0,1,33.60312,-7.5728,1021148
Rabat,Souissi,Rent,Apartment,3,1,60,0,0,0,34.03784,-6.81715,4477
Tangier,Centre Ville,Buy,Studio,1,1,34,0,0,0,35.78011,-5.82922,287997
Marrakech,Sidi Ghanem,Rent,Apartment,4,3,163,0,0,0,31.63047,-7.99485,12406
Tangier,Malabata,Rent,Apartment,3,1,118,0,0,1,35.77415,-5.83561,12411
Rabat,Océan,Buy,Apartment,3,3,111,0,0,1,34.02369,-6.83255,1364524
Tangier,Marshane,Buy,Villa,3,5,221,1,1,0,35.80127,-5.83679,3046858
Tangier,Marshane,Rent,Apartment,2,2,168,0,0,0,35.74073,-5.82111,10429
Tangier,Moujahidine,Buy,Apartment,4,1,110,0,0,1,35.74702,-5.79572,1116573
Rabat,Hay Riad,Rent,Villa,5,3,278,1,1,0,34.02028,-6.80153,49115
Marrakech,Medina,Buy,Villa,5,3,441,0,1,0,31.65161,-7.95736,6333151
Marrakech,Sidi Ghanem,Buy,Apartment,2,3,69,0,0,0,31.61407,-7.97517,711782
Tangier,Moujahidine,Buy,Apartment,4,3,117,0,0,1,35.75822,-5.82742,1184788
Rabat,Souissi,Buy,Villa,4,5,269,1,1,1,34.03219,-6.83449,4696695
Rabat,Océan,Rent,Villa,3,4,719,0,1,0,34.03285,-6.82758,86764
Casablanca,Maârif,Buy,Studio,1,1,41,0,0,1,33.57551,-7.61037,488424
Casablanca,Maârif,Rent,Apartment,4,3,124,0,0,0,33.60499,-7.60674,9698
Casablanca,Hay Mockh,Buy,Apartment,4,3,84,0,0,0,33.54724,-7.60182,921956
Tangier,Centre Ville,Buy,Riad,3,5,305,1,1,1,35.74574,-5.78895,4627988
Casablanca,Bourgogne,Buy,Villa,8,3,240,0,1,0,33.56402,-7.5902,4279663
Tangier,Centre Ville,Rent,Apartment,3,2,177,0,0,0,35.77995,-5.7852,10849
Tangier,Marshane,Buy,Studio,1,1,51,0,0,1,35.75445,-5.82616,552472
Rabat,Agdal,Rent,Studio,1,1,40,0,0,0,34.00582,-6.84721,2991
Tangier,Marshane,Rent,Apartment,3,3,169,0,0,1,35.77892,-5.84635,13285
Marrakech,Medina,Rent,Villa,3,6,344,1,1,0,31.60971,-7.96228,38443
Tangier,Centre Ville,Rent,Apartment,4,3,180,0,0,0,35.74012,-5.82298,10854
Tangier,Marshane,Buy,Apartment,2,3,149,0,0,1,35.72764,-5.82519,1519786
Casablanca,Hay Mockh,Buy,Studio,1,1,46,0,0,0,33.56152,-7.58853,566699
Rabat,Souissi,Buy,Villa,4,3,549,1,1,0,34.02188,-6.84079,8849546
Marrakech,Hivernage,Rent,Villa,4,2,502,1,1,0,31.65249,-7.98712,84233
Casablanca,Sidi Maârouf,Rent,Apartment,4,1,136,0,0,0,33.55873,-7.5719,11582
Marrakech,Hivernage,Buy,Riad,8,6,369,1,0,0,31.63429,-7.99674,8463165
Marrakech,Palmeraie,Buy,Apartment,4,2,156,0,0,1,31.64218,-7.97282,2107439
Tangier,Centre Ville,Rent,Apartment,4,1,99,0,0,1,35.78399,-5.80153,7794
Tangier,Centre Ville,Rent,Apartment,3,3,133,0,0,1,35.75773,-5.78241,11386
Tangier,Marshane,Rent,Villa,6,6,740,1,1,0,35.73079,-5.87226,72628
Marrakech,Sidi Ghanem,Buy,Land,0,0,383,0,0,0,31.64088,-7.94853,2925605
Rabat,Agdal,Rent,Apartment,4,2,171,0,0,0,33.99888,-6.85583,12453
Casablanca,Bourgogne,Rent,Apartment,2,2,70,0,0,1,33.57778,-7.62092,7833
Rabat,Hassan,Buy,Villa,7,3,647,0,1,1,33.99745,-6.86627,11192456
Tangier,Marshane,Buy,Riad,3,5,254,0,1,0,35.79295,-5.82562,3731451
Casablanca,Sidi Maârouf,Rent,Apartment,2,1,100,0,0,1,33.55329,-7.57721,10474
Rabat,Hay Riad,Rent,Apartment,2,1,96,0,0,1,34.00619,-6.81688,13536
Tangier,Centre Ville,Buy,Land,0,0,1654,0,0,0,35.74882,-5.86214,11080938
Tangier,Moujahidine,Buy,Land,0,0,1360,0,0,0,35.78376,-5.83117,9833044
Casablanca,Maârif,Buy,Apartment,2,2,87,0,0,1,33.56255,-7.58257,1165343
Tangier,Malabata,Buy,Riad,5,3,508,0,0,1,35.74378,-5.86062,9442543
Tangier,Malabata,Buy,Villa,3,5,748,0,1,1,35.74254,-5.86602,14175912
